i,j,weight
25,56,0.07626627926426091
25,57,0.06989939738833567
25,58,0.06511438629793556
25,59,0.07288359170441369
25,60,0.08558489026198433
25,61,0.07634310834029935
25,62,0.08878577412136034
25,63,0.07799470741817428
26,51,0.0598778679333772
26,52,0.05809547598009986
26,53,0.1413452688157782
26,54,0.15359052809652274
26,55,0.14340202728332824
26,56,0.17102865584056015
26,57,0.15668764509638416
26,58,0.1459585280881009
26,59,0.16323194767307272
26,60,0.19148907331936413
26,61,0.17081850427298567
26,62,0.19852182142485553
26,63,0.1744403363239395
27,48,0.05106876847111452
27,49,0.05050266895924185
27,50,0.05810625045570547
27,51,0.14296057680965513
27,52,0.13818502802678193
27,53,0.16769263603206216
27,54,0.18171997547007449
27,55,0.16936400901080875
27,56,0.20169551013997375
27,57,0.18458655788532186
27,58,0.17187208173889756
27,59,0.1920848726991617
27,60,0.2250993932185499
27,61,0.2007773016480331
27,62,0.23313805074968155
27,63,0.2049270491140511
28,51,0.1286935743129827
28,52,0.12404447177772927
28,53,0.15028823708142255
28,54,0.16253643300794915
28,55,0.15127388223101484
28,56,0.17997877756278552
28,57,0.16456855253134478
28,58,0.1531744444230828
28,59,0.17111733910966012
28,60,0.200415300522451
28,61,0.17870911471031653
28,62,0.20743489485451921
28,63,0.18233344630251577
29,46,0.04357853888166716
29,47,0.05461630976408647
29,48,0.05502281046163507
29,49,0.05412097226090499
29,50,0.062073481076774906
29,51,0.15194044333664533
29,52,0.14611770996894388
29,53,0.1766615774927018
29,54,0.1906882645808524
29,55,0.17725349183210345
29,56,0.21066286252356486
29,57,0.19248126374560087
29,58,0.1791171060005924
29,59,0.1999821657064413
29,60,0.23406563618496037
29,61,0.20867760587681627
29,62,0.24210390961304223
29,63,0.21282879551016057
30,45,0.04306353737989341
30,46,0.045190680650622435
30,47,0.056461133865978494
30,48,0.056644812022646936
30,49,0.055605266364825996
30,50,0.06370091478791799
30,51,0.1556564303256354
30,52,0.14938964679811734
30,53,0.1803597619611196
30,54,0.19437065584030808
30,55,0.18054929688630153
30,56,0.21434129118257633
30,57,0.19576230164047814
30,58,0.182148012236818
30,59,0.2032558889302881
30,60,0.23774360789579388
30,61,0.21194281543882215
30,62,0.24578172311901705
30,63,0.21608992761558593
31,49,0.04872086607530656
31,50,0.05580961541005487
31,51,0.13637573465482702
31,52,0.13082578466014616
31,53,0.15797482983175146
31,54,0.17022556316020693
31,55,0.15804506529021692
31,56,0.18767155124056473
31,57,0.17134250425898828
31,58,0.15940870963234358
31,59,0.1778951652284358
31,60,0.20811238942655283
31,61,0.18549145029449432
31,62,0.21513347777874223
31,63,0.18911794160946854
32,45,0.044431726096344
32,46,0.04640509467344714
32,47,0.05785083270759108
32,48,0.05786666893698534
32,49,0.05672896081470186
32,50,0.06492687228611058
32,51,0.1584557104485479
32,52,0.1518544470301076
32,53,0.1831707184060663
32,54,0.19718829657939235
32,55,0.183032588107653
32,56,0.21714981477968778
32,57,0.1982547223004779
32,58,0.18443131094868898
